epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.695,0.099,0.649,0.0001,0.177,0.595,0.88,0.078,0.633,0.161,0.087
1,0.871,0.109,0.472,0.0001,0.365,0.451,0.908,0.075,0.508,0.008,0.0
2,0.909,0.131,0.402,0.0001,0.533,0.514,0.906,0.074,0.436,0.026,0.002
3,0.926,0.154,0.361,0.0001,0.633,0.573,0.911,0.073,0.398,0.103,0.003
4,0.938,0.176,0.331,0.0001,0.713,0.613,0.91,0.072,0.384,0.221,0.009
5,0.946,0.195,0.309,0.0001,0.761,0.649,0.91,0.071,0.372,0.331,0.023
6,0.953,0.213,0.288,0.0001,0.805,0.684,0.915,0.081,0.351,0.63,0.078
7,0.957,0.226,0.273,0.0001,0.831,0.706,0.922,0.11,0.329,0.682,0.223
8,0.958,0.235,0.263,0.0001,0.842,0.712,0.932,0.137,0.304,0.768,0.335
9,0.961,0.247,0.251,0.0001,0.855,0.732,0.943,0.164,0.274,0.858,0.425
10,0.964,0.258,0.238,0.0001,0.874,0.748,0.952,0.204,0.256,0.83,0.584
11,0.968,0.275,0.224,0.0001,0.893,0.778,0.95,0.238,0.262,0.722,0.73
12,0.97,0.287,0.214,0.0001,0.902,0.79,0.957,0.246,0.242,0.787,0.718
13,0.973,0.302,0.203,0.0001,0.914,0.812,0.956,0.253,0.238,0.772,0.735
14,0.974,0.312,0.194,0.0001,0.922,0.821,0.956,0.256,0.232,0.776,0.728
15,0.976,0.325,0.185,0.0001,0.929,0.835,0.953,0.263,0.241,0.73,0.778
16,0.976,0.33,0.181,0.0001,0.925,0.83,0.955,0.245,0.221,0.826,0.636
17,0.976,0.338,0.174,0.0001,0.931,0.833,0.954,0.259,0.222,0.787,0.671
18,0.976,0.344,0.17,0.0001,0.925,0.833,0.959,0.292,0.208,0.784,0.768
19,0.978,0.359,0.16,0.0001,0.936,0.849,0.961,0.287,0.198,0.827,0.718
